size,edition,new_sku_count,categories,example_design,price_vnd,price_usd,note
148 × 210 mm,Standard,1,Safety Posters,Solas card (double sided),,,NEW SIZE - please fill in
150 × 250 mm,Outdoor,1,Lifesaving Signs (LSS/LSA),Lifejackets under seats,,,NEW SIZE - please fill in
150 × 250 mm,Standard,1,Lifesaving Signs (LSS/LSA),Lifejackets under seats,,,NEW SIZE - please fill in
200 × 100 mm,Outdoor,1,Fire-Fighting Equipment Signs (FES / FFE),Fire blanket point,690000,26.54,"pre-filled from website price for this size (1 SKUs); 1 other price(s) also used on the site - check"
200 × 100 mm,Standard,1,Fire-Fighting Equipment Signs (FES / FFE),Fire blanket point,74000,2.85,"pre-filled from website price for this size (1 SKUs); 1 other price(s) also used on the site - check"
300 × 120 mm,Outdoor,1,Hazard Signs,Hazard labelling symbol - Orange UN. No. panel,,,NEW SIZE - please fill in
300 × 120 mm,Standard,1,Hazard Signs,Hazard labelling symbol - Orange UN. No. panel,,,NEW SIZE - please fill in
300 × 150 mm,Outdoor,1,General Shipboard / Port & Leisure Signs,Security level indicator,1080000,41.54,"pre-filled from website price for this size (1 SKUs); 1 other price(s) also used on the site - check"
300 × 150 mm,Standard,1,General Shipboard / Port & Leisure Signs,Security level indicator,165000,6.35,"pre-filled from website price for this size (1 SKUs); 1 other price(s) also used on the site - check"
300 × 350 mm,Outdoor,1,General Shipboard / Port & Leisure Signs,This vessel is under CCTV surveillance,,,NEW SIZE - please fill in
300 × 350 mm,Standard,1,General Shipboard / Port & Leisure Signs,This vessel is under CCTV surveillance,,,NEW SIZE - please fill in
300 × 400 mm,Outdoor,1,Combination Signs,ISPS security notice,,,NEW SIZE - please fill in
300 × 400 mm,Standard,1,Combination Signs,ISPS security notice,,,NEW SIZE - please fill in
420 × 297 mm,Outdoor,1,Safety Posters,Williamson turn,,,NEW SIZE - please fill in
420 × 297 mm,Standard,1,Safety Posters,Williamson turn,,,NEW SIZE - please fill in
500 × 250 mm,Outdoor,1,Prohibition Signs (PSS),Restricted area authorised personnel only,,,NEW SIZE - please fill in
500 × 250 mm,Standard,1,Prohibition Signs (PSS),Restricted area authorised personnel only,,,NEW SIZE - please fill in
600 × 1000 mm,Outdoor,1,Combination Signs,Warning dangerous cargo-gangway notice,,,NEW SIZE - please fill in
600 × 1000 mm,Standard,1,Combination Signs,Warning dangerous cargo-gangway notice,,,NEW SIZE - please fill in
